Student_ID,Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Sleep_Quality,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End,GPA
1,24,Other,2nd Year,7.7,7.9,3.4,2,37,10,14:09:36,04:03:00,7.41,7.06,3.364002616706013
2,21,Male,1st Year,6.3,6.0,1.9,5,74,2,08:43:48,07:06:00,8.21,10.21,3.2638015635954165
3,22,Male,4th Year,5.1,6.7,3.9,5,53,5,20:00:00,20:28:12,6.88,10.92,2.5791263840829792
4,24,Other,4th Year,6.3,8.6,2.8,4,55,9,19:49:12,04:04:48,6.69,9.42,4.023438403419796
5,20,Male,4th Year,4.7,2.7,2.7,0,85,3,20:58:48,06:07:12,8.98,9.01,2.9903711502164914
6,25,Other,1st Year,4.9,12.0,3.2,3,96,9,09:48:00,18:49:48,5.04,10.51,2.667284794715652
7,22,Female,2nd Year,6.5,11.7,3.4,1,99,6,13:03:00,20:57:36,8.58,10.81,2.5216360171826846
8,22,Male,2nd Year,6.1,7.8,3.0,1,108,4,10:29:24,10:51:00,5.6,10.02,3.1630844892000107
9,24,Female,1st Year,8.6,2.4,1.4,1,86,7,11:03:36,18:52:48,8.14,8.78,3.16524466335665
10,19,Other,2nd Year,5.8,8.2,2.0,3,44,8,14:39:00,05:18:36,7.47,9.37,2.439349704036903
11,20,Female,1st Year,6.9,0.9,3.8,5,108,6,07:46:12,14:49:48,6.37,9.8,2.8794009066555715
12,24,Female,2nd Year,7.2,0.4,1.7,0,33,5,06:04:12,03:44:24,8.5,7.78,3.5825713138914668
13,20,Other,3rd Year,4.1,3.1,2.1,3,8,6,21:41:24,10:41:24,5.05,8.79,2.730418194332548
14,20,Female,3rd Year,7.3,5.6,2.3,1,87,5,17:39:00,18:21:00,5.91,10.32,3.0717773720614296
15,25,Female,4th Year,4.9,10.4,2.3,4,7,8,07:01:12,19:12:36,7.27,9.62,2.250882521091773
16,22,Other,3rd Year,8.8,8.7,2.8,2,6,1,13:52:48,10:28:12,6.41,8.64,2.9532365471540882
